year,event
2015-2016,"Damiano David, Victoria De Angelis and Thomas Raggi (schoolmates in Rome) form a band; Ethan Torchio joins after answering a Facebook ad for a drummer"
2016,"Band adopts the name Maneskin (Danish for moonlight), suggested by half-Danish member Victoria De Angelis, to enter the local 'Pulse' competition"
2017,"Runner-up on the 11th season of X Factor Italia, mentored by Manuel Agnelli; debut single 'Chosen' reaches #2 in Italy; EP 'Chosen' released in December"
2018-10-26,Debut studio album 'Il ballo della vita' released
2021-03,"Wins Sanremo Music Festival with 'Zitti e buoni'; second studio album 'Teatro d'ira: Vol. I' released"
2021-05-22,Wins Eurovision Song Contest 2021 in Rotterdam with 'Zitti e buoni', 524 points, Italy's first win since 1990
2021,"Viral breakthrough: cover of 'Beggin'' and 'I Wanna Be Your Slave' chart worldwide; first Italian rock act in UK Top 10"
2022-11,First Grammy nomination, Best New Artist, 65th Annual Grammy Awards
2023-01-20,Third studio album 'RUSH!' released
2024,"Damiano David begins solo career; band goes on indefinite hiatus"
